Disease	Cluster	Gene
1_2_4_benzenetriol	domino_1	6224
1_2_4_benzenetriol	domino_1	6155
1_2_4_benzenetriol	domino_1	6128
1_2_4_benzenetriol	domino_1	6194
1_2_4_benzenetriol	domino_1	255308
1_2_4_benzenetriol	domino_1	6122
1_2_4_benzenetriol	domino_1	6135
1_2_4_benzenetriol	domino_1	4736
1_2_4_benzenetriol	domino_1	6167
1_2_4_benzenetriol	domino_1	91408
1_2_4_benzenetriol	domino_1	1938
1_2_4_benzenetriol	domino_1	60678
1_2_4_benzenetriol	domino_1	79048
1_2_4_benzenetriol	domino_1	8665
1_2_4_benzenetriol	domino_1	1984
1_2_4_benzenetriol	domino_1	81875
1_2_4_benzenetriol	domino_1	285855
1_2_4_benzenetriol	domino_1	9669
1_2_4_benzenetriol	domino_1	27335
1_2_4_benzenetriol	domino_1	9147
1_2_4_benzenetriol	domino_1	22894
1_2_4_benzenetriol	domino_1	23148
1_2_4_benzenetriol	domino_1	6175
1_2_4_benzenetriol	domino_1	6137
1_2_4_benzenetriol	domino_1	6209
1_2_4_benzenetriol	domino_1	6161
1_2_4_benzenetriol	domino_1	6187
1_2_4_benzenetriol	domino_1	2197
1_2_4_benzenetriol	domino_1	6729
1_2_4_benzenetriol	domino_1	3646
1_2_4_benzenetriol	domino_1	6188
1_2_4_benzenetriol	domino_1	6193
1_2_4_benzenetriol	domino_1	11224
1_2_4_benzenetriol	domino_1	6227
1_2_4_benzenetriol	domino_1	6231
1_2_4_benzenetriol	domino_1	57532
1_2_4_benzenetriol	domino_1	6147
1_2_4_benzenetriol	domino_1	6229
1_2_4_benzenetriol	domino_1	689
1_2_4_benzenetriol	domino_1	25873
1_2_4_benzenetriol	domino_1	6144
1_2_4_benzenetriol	domino_1	6207
1_2_4_benzenetriol	domino_1	6734
1_2_4_benzenetriol	domino_1	8664
1_2_4_benzenetriol	domino_1	6169
1_2_4_benzenetriol	domino_1	6730
1_2_4_benzenetriol	domino_1	3921
1_2_4_benzenetriol	domino_1	342538
1_2_4_benzenetriol	domino_1	51319
1_2_4_benzenetriol	domino_1	6223
1_2_4_benzenetriol	domino_1	6204
1_2_4_benzenetriol	domino_1	8894
1_2_4_benzenetriol	domino_1	9732
1_2_4_benzenetriol	domino_1	1939
1_2_4_benzenetriol	domino_1	22927
1_2_4_benzenetriol	domino_1	6189
1_2_4_benzenetriol	domino_1	114987
1_2_4_benzenetriol	domino_1	10480
1_2_4_benzenetriol	domino_1	1965
1_2_4_benzenetriol	domino_1	6154
1_2_4_benzenetriol	domino_1	127795
1_2_4_benzenetriol	domino_1	6205
1_2_4_benzenetriol	domino_1	6222
1_2_4_benzenetriol	domino_1	201595
1_2_4_benzenetriol	domino_1	58477
1_2_4_benzenetriol	domino_1	100128731
1_2_4_benzenetriol	domino_1	6202
1_2_4_benzenetriol	domino_1	6152
1_2_4_benzenetriol	domino_1	6230
1_2_4_benzenetriol	domino_1	100526842
1_2_4_benzenetriol	domino_1	6130
1_2_4_benzenetriol	domino_1	6203
1_2_4_benzenetriol	domino_1	1983
1_2_4_benzenetriol	domino_1	6136
1_2_4_benzenetriol	domino_1	8667
1_2_4_benzenetriol	domino_1	6170
1_2_4_benzenetriol	domino_1	6156
1_2_4_benzenetriol	domino_1	391059
1_2_4_benzenetriol	domino_1	6185
1_2_4_benzenetriol	domino_1	6132
1_2_4_benzenetriol	domino_1	64374
1_2_4_benzenetriol	domino_1	728689
1_2_4_benzenetriol	domino_1	8562
1_2_4_benzenetriol	domino_1	10289
1_2_4_benzenetriol	domino_1	3703
1_2_4_benzenetriol	domino_1	6146
1_2_4_benzenetriol	domino_1	6125
1_2_4_benzenetriol	domino_1	6727
1_2_4_benzenetriol	domino_1	6166
1_2_4_benzenetriol	domino_1	5339
1_2_4_benzenetriol	domino_1	100287482
1_2_4_benzenetriol	domino_1	6217
1_2_4_benzenetriol	domino_1	23732
1_2_4_benzenetriol	domino_1	6143
1_2_4_benzenetriol	domino_1	1937
1_2_4_benzenetriol	domino_1	1915
1_2_4_benzenetriol	domino_1	200185
1_2_4_benzenetriol	domino_1	6191
1_2_4_benzenetriol	domino_1	8666
1_2_4_benzenetriol	domino_1	7553
1_2_4_benzenetriol	domino_1	54819
1_2_4_benzenetriol	domino_1	79631
1_2_4_benzenetriol	domino_1	10209
1_2_4_benzenetriol	domino_1	100529239
1_2_4_benzenetriol	domino_1	7991
1_2_4_benzenetriol	domino_1	1981
1_2_4_benzenetriol	domino_1	6124
1_2_4_benzenetriol	domino_4	5654
1_2_4_benzenetriol	domino_4	10730
1_2_4_benzenetriol	domino_4	293
1_2_4_benzenetriol	domino_4	100287932
1_2_4_benzenetriol	domino_4	84419
1_2_4_benzenetriol	domino_4	4697
1_2_4_benzenetriol	domino_4	9296
1_2_4_benzenetriol	domino_4	245972
1_2_4_benzenetriol	domino_4	7388
1_2_4_benzenetriol	domino_4	100532726
1_2_4_benzenetriol	domino_4	26521
1_2_4_benzenetriol	domino_4	11331
1_2_4_benzenetriol	domino_4	57221
1_2_4_benzenetriol	domino_4	1345
1_2_4_benzenetriol	domino_4	4710
1_2_4_benzenetriol	domino_4	55654
1_2_4_benzenetriol	domino_4	6391
1_2_4_benzenetriol	domino_4	1347
1_2_4_benzenetriol	domino_4	125965
1_2_4_benzenetriol	domino_4	10312
1_2_4_benzenetriol	domino_4	4694
1_2_4_benzenetriol	domino_4	81892
1_2_4_benzenetriol	domino_4	5464
1_2_4_benzenetriol	domino_4	90423
1_2_4_benzenetriol	domino_4	9550
1_2_4_benzenetriol	domino_4	537
1_2_4_benzenetriol	domino_4	9760
1_2_4_benzenetriol	domino_4	526
1_2_4_benzenetriol	domino_4	10063
1_2_4_benzenetriol	domino_4	54205
1_2_4_benzenetriol	domino_4	29796
1_2_4_benzenetriol	domino_4	1337
1_2_4_benzenetriol	domino_4	4725
1_2_4_benzenetriol	domino_4	513
1_2_4_benzenetriol	domino_4	131474
1_2_4_benzenetriol	domino_4	27430
1_2_4_benzenetriol	domino_4	7419
1_2_4_benzenetriol	domino_4	7416
1_2_4_benzenetriol	domino_9	719
1_2_4_benzenetriol	domino_9	729230
1_2_4_benzenetriol	domino_9	3576
1_2_4_benzenetriol	domino_9	7852
1_2_4_benzenetriol	domino_9	2919
1_2_4_benzenetriol	domino_9	339403
1_2_4_benzenetriol	domino_9	728
1_2_4_benzenetriol	domino_9	6367
1_2_4_benzenetriol	domino_9	10803
1_2_4_benzenetriol	domino_9	2921
1_2_4_benzenetriol	domino_9	1230
1_2_4_benzenetriol	domino_9	6368
1_2_4_benzenetriol	domino_9	5196
1_2_4_benzenetriol	domino_9	1880
1_2_4_benzenetriol	domino_9	2920
1_2_4_benzenetriol	domino_9	5660
1_2_4_benzenetriol	domino_9	6374
1_2_4_benzenetriol	domino_9	6354
1_2_4_benzenetriol	domino_9	6358
1_2_4_benzenetriol	domino_9	5473
1_2_4_benzenetriol	domino_7	59286
1_2_4_benzenetriol	domino_7	58517
1_2_4_benzenetriol	domino_7	8996
1_2_4_benzenetriol	domino_7	8683
1_2_4_benzenetriol	domino_7	1655
1_2_4_benzenetriol	domino_7	285755
1_2_4_benzenetriol	domino_7	27316
1_2_4_benzenetriol	domino_7	3188
1_2_4_benzenetriol	domino_7	25957
1_2_4_benzenetriol	domino_7	140890
1_2_4_benzenetriol	domino_7	9584
1_2_4_benzenetriol	domino_7	102724594
1_2_4_benzenetriol	domino_7	1153
1_2_4_benzenetriol	domino_7	10949
1_2_4_benzenetriol	domino_7	53938
1_2_4_benzenetriol	domino_7	220988
1_2_4_benzenetriol	domino_7	3190
1_2_4_benzenetriol	domino_7	23360
1_2_4_benzenetriol	domino_7	9295
1_2_4_benzenetriol	domino_7	2079
1_2_4_benzenetriol	domino_7	3181
1_2_4_benzenetriol	domino_7	55082
1_2_4_benzenetriol	domino_7	6633
1_2_4_benzenetriol	domino_7	284434
1_2_4_benzenetriol	domino_7	80742
1_2_4_benzenetriol	domino_7	94104
1_2_4_benzenetriol	domino_7	23451
1_2_4_benzenetriol	domino_7	4904
1_2_4_benzenetriol	domino_7	56122
1_2_4_benzenetriol	domino_3	821
1_2_4_benzenetriol	domino_3	3134
1_2_4_benzenetriol	domino_3	972
1_2_4_benzenetriol	domino_3	8722
1_2_4_benzenetriol	domino_3	3106
1_2_4_benzenetriol	domino_3	388646
1_2_4_benzenetriol	domino_3	6890
1_2_4_benzenetriol	domino_3	3113
1_2_4_benzenetriol	domino_3	79168
1_2_4_benzenetriol	domino_3	3823
1_2_4_benzenetriol	domino_3	3133
1_2_4_benzenetriol	domino_3	3105
1_2_4_benzenetriol	domino_3	56244
1_2_4_benzenetriol	domino_3	3123
1_2_4_benzenetriol	domino_3	2923
1_2_4_benzenetriol	domino_3	6892
1_2_4_benzenetriol	domino_3	11006
1_2_4_benzenetriol	domino_3	5133
1_2_4_benzenetriol	domino_3	3127
1_2_4_benzenetriol	domino_3	10990
1_2_4_benzenetriol	domino_3	25939
1_2_4_benzenetriol	domino_3	91543
1_2_4_benzenetriol	domino_3	1508
1_2_4_benzenetriol	domino_3	55080
1_2_4_benzenetriol	domino_3	55016
1_2_4_benzenetriol	domino_3	3118
1_2_4_benzenetriol	domino_3	1519
1_2_4_benzenetriol	domino_3	10346
1_2_4_benzenetriol	domino_3	80380
1_2_4_benzenetriol	domino_3	11027
1_2_4_benzenetriol	domino_3	1513
1_2_4_benzenetriol	domino_3	10581
1_2_4_benzenetriol	domino_3	5641
1_2_4_benzenetriol	domino_3	26191
1_2_4_benzenetriol	domino_3	811
1_2_4_benzenetriol	domino_3	64714
1_2_4_benzenetriol	domino_3	1514
1_2_4_benzenetriol	domino_3	3122
1_2_4_benzenetriol	domino_3	10437
1_2_4_benzenetriol	domino_3	11024
1_2_4_benzenetriol	domino_3	8302
1_2_4_benzenetriol	domino_3	8519
1_2_4_benzenetriol	domino_3	29126
1_2_4_benzenetriol	domino_3	11126
1_2_4_benzenetriol	domino_3	23547
1_2_4_benzenetriol	domino_3	11025
1_2_4_benzenetriol	domino_3	353514
1_2_4_benzenetriol	domino_3	4502
1_2_4_benzenetriol	domino_3	3902
1_2_4_benzenetriol	domino_3	3117
1_2_4_benzenetriol	domino_3	1515
1_2_4_benzenetriol	domino_3	3115
1_2_4_benzenetriol	domino_3	3394
1_2_4_benzenetriol	domino_3	163351
1_2_4_benzenetriol	domino_3	1510
1_2_4_benzenetriol	domino_3	10859
1_2_4_benzenetriol	domino_8	8673
1_2_4_benzenetriol	domino_8	100049587
1_2_4_benzenetriol	domino_8	3687
1_2_4_benzenetriol	domino_8	64114
1_2_4_benzenetriol	domino_8	441864
1_2_4_benzenetriol	domino_8	2015
1_2_4_benzenetriol	domino_8	7045
1_2_4_benzenetriol	domino_8	3689
1_2_4_benzenetriol	domino_8	4071
1_2_4_benzenetriol	domino_8	967
1_2_4_benzenetriol	domino_8	23601
1_2_4_benzenetriol	domino_8	23762
1_2_4_benzenetriol	domino_8	9218
1_2_4_benzenetriol	domino_8	57515
1_2_4_benzenetriol	domino_8	963
