Disease	Cluster	Gene
AATF	domino_2	6187
AATF	domino_2	100529239
AATF	domino_2	1915
AATF	domino_2	6208
AATF	domino_2	728689
AATF	domino_2	11224
AATF	domino_2	1975
AATF	domino_2	6169
AATF	domino_2	79631
AATF	domino_2	6203
AATF	domino_2	3692
AATF	domino_2	100526842
AATF	domino_2	6136
AATF	domino_2	6128
AATF	domino_2	10209
AATF	domino_2	58477
AATF	domino_2	200916
AATF	domino_2	1938
AATF	domino_2	6185
AATF	domino_2	201595
AATF	domino_2	6138
AATF	domino_2	6142
AATF	domino_2	6189
AATF	domino_2	6132
AATF	domino_2	3703
AATF	domino_2	6130
AATF	domino_2	8661
AATF	domino_2	255308
AATF	domino_2	6234
AATF	domino_2	6188
AATF	domino_2	1937
AATF	domino_2	6210
AATF	domino_2	391059
AATF	domino_2	7553
AATF	domino_2	6125
AATF	domino_2	51386
AATF	domino_2	116832
AATF	domino_2	6122
AATF	domino_2	6191
AATF	domino_2	6133
AATF	domino_2	1965
AATF	domino_2	1603
AATF	domino_2	29927
AATF	domino_2	6175
AATF	domino_2	23
AATF	domino_2	25873
AATF	domino_2	127795
AATF	domino_2	6204
AATF	domino_2	6194
AATF	domino_2	6134
AATF	domino_2	6155
AATF	domino_2	6231
AATF	domino_2	1983
AATF	domino_2	6129
AATF	domino_2	55176
AATF	domino_2	6141
AATF	domino_2	26986
AATF	domino_3	8602
AATF	domino_3	102724159
AATF	domino_3	11266
AATF	domino_3	51187
AATF	domino_3	29889
AATF	domino_3	221830
AATF	domino_3	81034
AATF	domino_3	54517
AATF	domino_3	55646
AATF	domino_3	692312
AATF	domino_3	57062
AATF	domino_3	57604
AATF	domino_3	51504
AATF	domino_3	54663
AATF	domino_3	92856
AATF	domino_3	51602
AATF	domino_3	54888
AATF	domino_3	161424
AATF	domino_3	27111
AATF	domino_3	677
AATF	domino_3	118460
AATF	domino_3	79730
AATF	domino_3	51388
AATF	domino_3	83743
AATF	domino_3	84365
AATF	domino_3	64425
AATF	domino_3	705
AATF	domino_3	55813
AATF	domino_3	26574
AATF	domino_3	4839
AATF	domino_3	4691
AATF	domino_3	134430
AATF	domino_3	9221
AATF	domino_3	11137
AATF	domino_3	23160
AATF	domino_3	51154
AATF	domino_3	51068
AATF	domino_3	153443
AATF	domino_3	84306
AATF	domino_3	23404
AATF	domino_3	80135
AATF	domino_3	117246
AATF	domino_3	54606
AATF	domino_3	60528
AATF	domino_3	9136
AATF	domino_3	142940
AATF	domino_3	84310
AATF	domino_3	23481
AATF	domino_3	146212
AATF	domino_1	253012
AATF	domino_1	54809
AATF	domino_1	3431
AATF	domino_1	219285
AATF	domino_1	64761
AATF	domino_1	10437
AATF	domino_1	388646
AATF	domino_1	84106
AATF	domino_1	6672
AATF	domino_1	4599
AATF	domino_1	83666
AATF	domino_1	24138
AATF	domino_1	91543
AATF	domino_1	79132
AATF	domino_1	3429
AATF	domino_1	3434
AATF	domino_1	439996
AATF	domino_1	8638
AATF	domino_1	51447
AATF	domino_1	10581
AATF	domino_1	5359
AATF	domino_1	821
AATF	domino_1	64714
AATF	domino_1	8302
AATF	domino_1	3133
AATF	domino_1	56255
AATF	domino_1	2537
AATF	domino_1	353514
AATF	domino_1	3135
AATF	domino_1	11006
AATF	domino_1	6892
AATF	domino_1	6890
AATF	domino_1	1469
AATF	domino_1	1514
AATF	domino_1	373856
AATF	domino_1	11274
AATF	domino_1	11126
AATF	domino_1	11027
AATF	domino_1	3107
AATF	domino_1	54739
AATF	domino_1	11024
AATF	domino_1	10964
AATF	domino_1	3140
AATF	domino_1	811
AATF	domino_1	10410
AATF	domino_1	55080
AATF	domino_1	3106
AATF	domino_1	11025
AATF	domino_1	79168
AATF	domino_1	10990
AATF	domino_1	2923
AATF	domino_1	684
AATF	domino_1	3437
AATF	domino_1	10859
AATF	domino_1	103
AATF	domino_1	25820
AATF	domino_1	7706
AATF	domino_1	65979
AATF	domino_1	3433
AATF	domino_1	115653
AATF	domino_1	55601
AATF	domino_1	3669
AATF	domino_1	10379
AATF	domino_1	25939
AATF	domino_1	10561
AATF	domino_1	4502
AATF	domino_1	6773
AATF	domino_1	3659
AATF	domino_1	3430
AATF	domino_1	8519
AATF	domino_1	4938
AATF	domino_1	6041
AATF	domino_1	3823
AATF	domino_1	3105
AATF	domino_1	4600
AATF	domino_1	4940
AATF	domino_1	1472
AATF	domino_1	23547
AATF	domino_1	5610
AATF	domino_1	1958
AATF	domino_1	3134
AATF	domino_1	3122
AATF	domino_4	5701
AATF	domino_4	399473
AATF	domino_4	338699
AATF	domino_4	5717
AATF	domino_4	84262
AATF	domino_4	51371
AATF	domino_4	5687
AATF	domino_4	54859
AATF	domino_4	5705
AATF	domino_4	5704
AATF	domino_4	4792
AATF	domino_4	143471
AATF	domino_4	5700
AATF	domino_4	339745
AATF	domino_4	5720
AATF	domino_4	5690
AATF	domino_4	8624
AATF	domino_4	5686
AATF	domino_4	5698
AATF	domino_4	389362
AATF	domino_4	5691
AATF	domino_4	51582
AATF	domino_4	4953
AATF	domino_4	5692
AATF	domino_4	5721
AATF	domino_4	51460
AATF	domino_4	4946
AATF	domino_4	51686
AATF	domino_4	5694
AATF	domino_4	9861
AATF	domino_4	5695
AATF	domino_4	11047
AATF	domino_4	91409
AATF	domino_4	94056
AATF	domino_4	5707
AATF	domino_4	51330
AATF	domino_4	5683
AATF	domino_5	9093
AATF	domino_5	10808
AATF	domino_5	4189
AATF	domino_5	3309
AATF	domino_5	150353
AATF	domino_5	3303
AATF	domino_5	91181
AATF	domino_5	9688
AATF	domino_5	79637
AATF	domino_5	79902
AATF	domino_5	55854
AATF	domino_5	92092
AATF	domino_5	54788
AATF	domino_5	25822
AATF	domino_5	3337
AATF	domino_5	374407
AATF	domino_5	3304
AATF	domino_5	11080
AATF	domino_5	25929
AATF	domino_5	57122
AATF	domino_5	3301
AATF	domino_5	10595
AATF	domino_5	100101267
AATF	domino_5	84321
AATF	domino_5	259217
AATF	domino_5	5901
AATF	domino_5	23214
AATF	domino_5	348995
AATF	domino_6	3856
AATF	domino_6	390792
