Disease	Cluster	Gene
APECED___Autoimmune_polyendocrinopathy_candidiasis_ectodermal_dystrophy	domino_1	10209
APECED___Autoimmune_polyendocrinopathy_candidiasis_ectodermal_dystrophy	domino_1	100529239
APECED___Autoimmune_polyendocrinopathy_candidiasis_ectodermal_dystrophy	domino_1	6144
APECED___Autoimmune_polyendocrinopathy_candidiasis_ectodermal_dystrophy	domino_1	6206
APECED___Autoimmune_polyendocrinopathy_candidiasis_ectodermal_dystrophy	domino_1	6188
APECED___Autoimmune_polyendocrinopathy_candidiasis_ectodermal_dystrophy	domino_1	6164
APECED___Autoimmune_polyendocrinopathy_candidiasis_ectodermal_dystrophy	domino_1	26986
APECED___Autoimmune_polyendocrinopathy_candidiasis_ectodermal_dystrophy	domino_1	255967
APECED___Autoimmune_polyendocrinopathy_candidiasis_ectodermal_dystrophy	domino_1	55629
APECED___Autoimmune_polyendocrinopathy_candidiasis_ectodermal_dystrophy	domino_1	200916
APECED___Autoimmune_polyendocrinopathy_candidiasis_ectodermal_dystrophy	domino_1	6228
APECED___Autoimmune_polyendocrinopathy_candidiasis_ectodermal_dystrophy	domino_1	10952
APECED___Autoimmune_polyendocrinopathy_candidiasis_ectodermal_dystrophy	domino_1	6125
APECED___Autoimmune_polyendocrinopathy_candidiasis_ectodermal_dystrophy	domino_1	6204
APECED___Autoimmune_polyendocrinopathy_candidiasis_ectodermal_dystrophy	domino_1	8666
APECED___Autoimmune_polyendocrinopathy_candidiasis_ectodermal_dystrophy	domino_1	6171
APECED___Autoimmune_polyendocrinopathy_candidiasis_ectodermal_dystrophy	domino_1	57532
APECED___Autoimmune_polyendocrinopathy_candidiasis_ectodermal_dystrophy	domino_1	6130
APECED___Autoimmune_polyendocrinopathy_candidiasis_ectodermal_dystrophy	domino_1	1915
APECED___Autoimmune_polyendocrinopathy_candidiasis_ectodermal_dystrophy	domino_1	100529097
APECED___Autoimmune_polyendocrinopathy_candidiasis_ectodermal_dystrophy	domino_1	7553
APECED___Autoimmune_polyendocrinopathy_candidiasis_ectodermal_dystrophy	domino_1	6132
APECED___Autoimmune_polyendocrinopathy_candidiasis_ectodermal_dystrophy	domino_1	6210
APECED___Autoimmune_polyendocrinopathy_candidiasis_ectodermal_dystrophy	domino_1	1974
APECED___Autoimmune_polyendocrinopathy_candidiasis_ectodermal_dystrophy	domino_1	6143
APECED___Autoimmune_polyendocrinopathy_candidiasis_ectodermal_dystrophy	domino_1	6128
APECED___Autoimmune_polyendocrinopathy_candidiasis_ectodermal_dystrophy	domino_1	6187
APECED___Autoimmune_polyendocrinopathy_candidiasis_ectodermal_dystrophy	domino_1	6231
APECED___Autoimmune_polyendocrinopathy_candidiasis_ectodermal_dystrophy	domino_1	6137
APECED___Autoimmune_polyendocrinopathy_candidiasis_ectodermal_dystrophy	domino_1	127534
APECED___Autoimmune_polyendocrinopathy_candidiasis_ectodermal_dystrophy	domino_1	6122
APECED___Autoimmune_polyendocrinopathy_candidiasis_ectodermal_dystrophy	domino_1	10767
APECED___Autoimmune_polyendocrinopathy_candidiasis_ectodermal_dystrophy	domino_1	65110
APECED___Autoimmune_polyendocrinopathy_candidiasis_ectodermal_dystrophy	domino_1	6193
APECED___Autoimmune_polyendocrinopathy_candidiasis_ectodermal_dystrophy	domino_1	127795
APECED___Autoimmune_polyendocrinopathy_candidiasis_ectodermal_dystrophy	domino_1	7178
APECED___Autoimmune_polyendocrinopathy_candidiasis_ectodermal_dystrophy	domino_1	23521
APECED___Autoimmune_polyendocrinopathy_candidiasis_ectodermal_dystrophy	domino_1	1938
APECED___Autoimmune_polyendocrinopathy_candidiasis_ectodermal_dystrophy	domino_1	6176
APECED___Autoimmune_polyendocrinopathy_candidiasis_ectodermal_dystrophy	domino_1	6134
APECED___Autoimmune_polyendocrinopathy_candidiasis_ectodermal_dystrophy	domino_1	4736
APECED___Autoimmune_polyendocrinopathy_candidiasis_ectodermal_dystrophy	domino_1	6223
APECED___Autoimmune_polyendocrinopathy_candidiasis_ectodermal_dystrophy	domino_1	6129
APECED___Autoimmune_polyendocrinopathy_candidiasis_ectodermal_dystrophy	domino_1	6175
APECED___Autoimmune_polyendocrinopathy_candidiasis_ectodermal_dystrophy	domino_1	6205
APECED___Autoimmune_polyendocrinopathy_candidiasis_ectodermal_dystrophy	domino_1	27230
APECED___Autoimmune_polyendocrinopathy_candidiasis_ectodermal_dystrophy	domino_1	55176
APECED___Autoimmune_polyendocrinopathy_candidiasis_ectodermal_dystrophy	domino_1	1650
APECED___Autoimmune_polyendocrinopathy_candidiasis_ectodermal_dystrophy	domino_1	55858
APECED___Autoimmune_polyendocrinopathy_candidiasis_ectodermal_dystrophy	domino_1	6147
APECED___Autoimmune_polyendocrinopathy_candidiasis_ectodermal_dystrophy	domino_3	4953
APECED___Autoimmune_polyendocrinopathy_candidiasis_ectodermal_dystrophy	domino_3	143471
APECED___Autoimmune_polyendocrinopathy_candidiasis_ectodermal_dystrophy	domino_3	8405
APECED___Autoimmune_polyendocrinopathy_candidiasis_ectodermal_dystrophy	domino_3	339745
APECED___Autoimmune_polyendocrinopathy_candidiasis_ectodermal_dystrophy	domino_3	5721
APECED___Autoimmune_polyendocrinopathy_candidiasis_ectodermal_dystrophy	domino_3	399473
APECED___Autoimmune_polyendocrinopathy_candidiasis_ectodermal_dystrophy	domino_3	5684
APECED___Autoimmune_polyendocrinopathy_candidiasis_ectodermal_dystrophy	domino_3	5699
APECED___Autoimmune_polyendocrinopathy_candidiasis_ectodermal_dystrophy	domino_3	2931
APECED___Autoimmune_polyendocrinopathy_candidiasis_ectodermal_dystrophy	domino_3	8313
APECED___Autoimmune_polyendocrinopathy_candidiasis_ectodermal_dystrophy	domino_3	5687
APECED___Autoimmune_polyendocrinopathy_candidiasis_ectodermal_dystrophy	domino_3	5706
APECED___Autoimmune_polyendocrinopathy_candidiasis_ectodermal_dystrophy	domino_3	5701
APECED___Autoimmune_polyendocrinopathy_candidiasis_ectodermal_dystrophy	domino_3	3091
APECED___Autoimmune_polyendocrinopathy_candidiasis_ectodermal_dystrophy	domino_3	391104
APECED___Autoimmune_polyendocrinopathy_candidiasis_ectodermal_dystrophy	domino_3	112398
APECED___Autoimmune_polyendocrinopathy_candidiasis_ectodermal_dystrophy	domino_3	112399
APECED___Autoimmune_polyendocrinopathy_candidiasis_ectodermal_dystrophy	domino_3	51460
APECED___Autoimmune_polyendocrinopathy_candidiasis_ectodermal_dystrophy	domino_3	5698
APECED___Autoimmune_polyendocrinopathy_candidiasis_ectodermal_dystrophy	domino_3	10537
APECED___Autoimmune_polyendocrinopathy_candidiasis_ectodermal_dystrophy	domino_3	11047
APECED___Autoimmune_polyendocrinopathy_candidiasis_ectodermal_dystrophy	domino_3	5683
APECED___Autoimmune_polyendocrinopathy_candidiasis_ectodermal_dystrophy	domino_3	200734
APECED___Autoimmune_polyendocrinopathy_candidiasis_ectodermal_dystrophy	domino_3	4792
APECED___Autoimmune_polyendocrinopathy_candidiasis_ectodermal_dystrophy	domino_3	10197
APECED___Autoimmune_polyendocrinopathy_candidiasis_ectodermal_dystrophy	domino_3	4947
APECED___Autoimmune_polyendocrinopathy_candidiasis_ectodermal_dystrophy	domino_3	51582
APECED___Autoimmune_polyendocrinopathy_candidiasis_ectodermal_dystrophy	domino_3	5685
APECED___Autoimmune_polyendocrinopathy_candidiasis_ectodermal_dystrophy	domino_3	126374
APECED___Autoimmune_polyendocrinopathy_candidiasis_ectodermal_dystrophy	domino_3	1855
APECED___Autoimmune_polyendocrinopathy_candidiasis_ectodermal_dystrophy	domino_4	6431
APECED___Autoimmune_polyendocrinopathy_candidiasis_ectodermal_dystrophy	domino_4	102724594
APECED___Autoimmune_polyendocrinopathy_candidiasis_ectodermal_dystrophy	domino_4	4904
APECED___Autoimmune_polyendocrinopathy_candidiasis_ectodermal_dystrophy	domino_4	285755
APECED___Autoimmune_polyendocrinopathy_candidiasis_ectodermal_dystrophy	domino_4	6434
APECED___Autoimmune_polyendocrinopathy_candidiasis_ectodermal_dystrophy	domino_4	3189
APECED___Autoimmune_polyendocrinopathy_candidiasis_ectodermal_dystrophy	domino_4	220988
APECED___Autoimmune_polyendocrinopathy_candidiasis_ectodermal_dystrophy	domino_4	23360
APECED___Autoimmune_polyendocrinopathy_candidiasis_ectodermal_dystrophy	domino_4	9295
APECED___Autoimmune_polyendocrinopathy_candidiasis_ectodermal_dystrophy	domino_4	8106
APECED___Autoimmune_polyendocrinopathy_candidiasis_ectodermal_dystrophy	domino_4	5939
APECED___Autoimmune_polyendocrinopathy_candidiasis_ectodermal_dystrophy	domino_4	6430
APECED___Autoimmune_polyendocrinopathy_candidiasis_ectodermal_dystrophy	domino_4	11338
APECED___Autoimmune_polyendocrinopathy_candidiasis_ectodermal_dystrophy	domino_4	100996928
APECED___Autoimmune_polyendocrinopathy_candidiasis_ectodermal_dystrophy	domino_4	59286
APECED___Autoimmune_polyendocrinopathy_candidiasis_ectodermal_dystrophy	domino_4	51362
APECED___Autoimmune_polyendocrinopathy_candidiasis_ectodermal_dystrophy	domino_4	4670
APECED___Autoimmune_polyendocrinopathy_candidiasis_ectodermal_dystrophy	domino_4	199746
APECED___Autoimmune_polyendocrinopathy_candidiasis_ectodermal_dystrophy	domino_4	22826
APECED___Autoimmune_polyendocrinopathy_candidiasis_ectodermal_dystrophy	domino_4	10114
