Disease	Cluster	Gene
10_mg_response_to_amphetamine_NA_2012	noprop_4	1009
10_mg_response_to_amphetamine_NA_2012	noprop_4	54986
10_mg_response_to_amphetamine_NA_2012	noprop_4	144100
10_mg_response_to_amphetamine_NA_2012	noprop_4	5797
10_mg_response_to_amphetamine_NA_2012	noprop_4	1012
10_mg_response_to_amphetamine_NA_2012	noprop_4	117583
10_mg_response_to_amphetamine_NA_2012	noprop_4	1015
10_mg_response_to_amphetamine_NA_2012	noprop_4	9414
10_mg_response_to_amphetamine_NA_2012	noprop_4	7082
10_mg_response_to_amphetamine_NA_2012	noprop_4	55691
10_mg_response_to_amphetamine_NA_2012	noprop_4	342184
10_mg_response_to_amphetamine_NA_2012	noprop_4	1496
10_mg_response_to_amphetamine_NA_2012	noprop_4	29119
10_mg_response_to_amphetamine_NA_2012	noprop_4	1002
10_mg_response_to_amphetamine_NA_2012	noprop_4	58494
10_mg_response_to_amphetamine_NA_2012	noprop_4	2313
10_mg_response_to_amphetamine_NA_2012	noprop_4	1501
10_mg_response_to_amphetamine_NA_2012	noprop_4	79827
10_mg_response_to_amphetamine_NA_2012	noprop_4	999
10_mg_response_to_amphetamine_NA_2012	noprop_4	1010
10_mg_response_to_amphetamine_NA_2012	noprop_4	81607
10_mg_response_to_amphetamine_NA_2012	noprop_4	5010
10_mg_response_to_amphetamine_NA_2012	noprop_5	6262
10_mg_response_to_amphetamine_NA_2012	noprop_5	2898
10_mg_response_to_amphetamine_NA_2012	noprop_5	80036
10_mg_response_to_amphetamine_NA_2012	noprop_5	817
10_mg_response_to_amphetamine_NA_2012	noprop_5	781
10_mg_response_to_amphetamine_NA_2012	noprop_5	9590
10_mg_response_to_amphetamine_NA_2012	noprop_5	6263
10_mg_response_to_amphetamine_NA_2012	noprop_5	81832
10_mg_response_to_amphetamine_NA_2012	noprop_5	359
10_mg_response_to_amphetamine_NA_2012	noprop_5	4842
10_mg_response_to_amphetamine_NA_2012	noprop_5	2900
10_mg_response_to_amphetamine_NA_2012	noprop_5	7225
10_mg_response_to_amphetamine_NA_2012	noprop_5	3708
10_mg_response_to_amphetamine_NA_2012	noprop_5	57118
10_mg_response_to_amphetamine_NA_2012	noprop_5	773
10_mg_response_to_amphetamine_NA_2012	noprop_5	490
10_mg_response_to_amphetamine_NA_2012	noprop_5	59341
10_mg_response_to_amphetamine_NA_2012	noprop_5	3709
10_mg_response_to_amphetamine_NA_2012	noprop_5	10335
10_mg_response_to_amphetamine_NA_2012	noprop_3	23426
10_mg_response_to_amphetamine_NA_2012	noprop_3	27091
10_mg_response_to_amphetamine_NA_2012	noprop_3	55799
10_mg_response_to_amphetamine_NA_2012	noprop_3	26047
10_mg_response_to_amphetamine_NA_2012	noprop_3	22941
10_mg_response_to_amphetamine_NA_2012	noprop_3	2893
10_mg_response_to_amphetamine_NA_2012	noprop_3	9455
10_mg_response_to_amphetamine_NA_2012	noprop_3	729993
10_mg_response_to_amphetamine_NA_2012	noprop_3	779
10_mg_response_to_amphetamine_NA_2012	noprop_3	2894
10_mg_response_to_amphetamine_NA_2012	noprop_3	2904
10_mg_response_to_amphetamine_NA_2012	noprop_3	9229
10_mg_response_to_amphetamine_NA_2012	noprop_3	775
