Disease	Cluster	Gene
Age_at_menarche_ReproGen_2017	domino_1	127262
Age_at_menarche_ReproGen_2017	domino_1	8927
Age_at_menarche_ReproGen_2017	domino_1	8496
Age_at_menarche_ReproGen_2017	domino_1	5792
Age_at_menarche_ReproGen_2017	domino_1	139065
Age_at_menarche_ReproGen_2017	domino_1	5789
Age_at_menarche_ReproGen_2017	domino_1	9229
Age_at_menarche_ReproGen_2017	domino_1	58512
Age_at_menarche_ReproGen_2017	domino_1	54810
Age_at_menarche_ReproGen_2017	domino_1	4646
Age_at_menarche_ReproGen_2017	domino_1	9455
Age_at_menarche_ReproGen_2017	domino_1	93643
Age_at_menarche_ReproGen_2017	domino_1	1740
Age_at_menarche_ReproGen_2017	domino_1	22865
Age_at_menarche_ReproGen_2017	domino_1	80036
Age_at_menarche_ReproGen_2017	domino_1	59341
Age_at_menarche_ReproGen_2017	domino_1	8495
Age_at_menarche_ReproGen_2017	domino_1	139411
Age_at_menarche_ReproGen_2017	domino_1	9228
Age_at_menarche_ReproGen_2017	domino_1	84631
Age_at_menarche_ReproGen_2017	domino_1	114798
Age_at_menarche_ReproGen_2017	domino_1	26050
Age_at_menarche_ReproGen_2017	domino_1	59283
Age_at_menarche_ReproGen_2017	domino_1	7225
Age_at_menarche_ReproGen_2017	domino_1	50944
Age_at_menarche_ReproGen_2017	domino_1	9254
Age_at_menarche_ReproGen_2017	domino_1	8541
Age_at_menarche_ReproGen_2017	domino_1	814
Age_at_menarche_ReproGen_2017	domino_1	816
Age_at_menarche_ReproGen_2017	domino_1	2893
Age_at_menarche_ReproGen_2017	domino_1	3708
Age_at_menarche_ReproGen_2017	domino_1	5576
Age_at_menarche_ReproGen_2017	domino_4	23410
Age_at_menarche_ReproGen_2017	domino_4	83933
Age_at_menarche_ReproGen_2017	domino_4	23030
Age_at_menarche_ReproGen_2017	domino_4	474382
Age_at_menarche_ReproGen_2017	domino_4	8085
Age_at_menarche_ReproGen_2017	domino_4	9757
Age_at_menarche_ReproGen_2017	domino_4	7867
Age_at_menarche_ReproGen_2017	domino_4	51773
Age_at_menarche_ReproGen_2017	domino_4	51317
Age_at_menarche_ReproGen_2017	domino_4	23054
Age_at_menarche_ReproGen_2017	domino_4	5080
Age_at_menarche_ReproGen_2017	domino_4	4990
Age_at_menarche_ReproGen_2017	domino_4	255626
Age_at_menarche_ReproGen_2017	domino_2	5571
Age_at_menarche_ReproGen_2017	domino_2	389541
Age_at_menarche_ReproGen_2017	domino_2	107282092
Age_at_menarche_ReproGen_2017	domino_2	57521
Age_at_menarche_ReproGen_2017	domino_2	2309
Age_at_menarche_ReproGen_2017	domino_2	253260
Age_at_menarche_ReproGen_2017	domino_2	51596
Age_at_menarche_ReproGen_2017	domino_2	4485
Age_at_menarche_ReproGen_2017	domino_2	10971
Age_at_menarche_ReproGen_2017	domino_2	7534
Age_at_menarche_ReproGen_2017	domino_2	4486
Age_at_menarche_ReproGen_2017	domino_2	5300
Age_at_menarche_ReproGen_2017	domino_2	55626
Age_at_menarche_ReproGen_2017	domino_2	5565
Age_at_menarche_ReproGen_2017	domino_2	208
Age_at_menarche_ReproGen_2017	domino_2	252983
Age_at_menarche_ReproGen_2017	domino_2	65018
Age_at_menarche_ReproGen_2017	domino_2	10641
Age_at_menarche_ReproGen_2017	domino_2	23334
Age_at_menarche_ReproGen_2017	domino_2	84557
Age_at_menarche_ReproGen_2017	domino_7	1154
Age_at_menarche_ReproGen_2017	domino_7	390594
Age_at_menarche_ReproGen_2017	domino_7	10293
