gwas_id	Disease	n	Genes
GWAS:9	Schizophrenia_PGC_2013	145	3104, 1806, 51177, 10806, 10000, 54497, 253635, 5610, 3344, 7444, 23301, 2016, 23451, 80219, 100529241, 25843, 205327, 129450, 79568, 1385, 25791, 344787, 3697, 3700, 27086, 8087, 51523, 6568, 10786, 3077, 8347, 3008, 3017, 11118, 11120, 94026, 8340, 8329, 8363, 8341, 3009, 8356, 7718, 80345, 7745, 7746, 387032, 84547, 64288, 80317, 9753, 222696, 114821, 5987, 442191, 81696, 81797, 346171, 3135, 11074, 7726, 56658, 389376, 135656, 3106, 7916, 7917, 55937, 1460, 80740, 23564, 1192, 4439, 80737, 7407, 57819, 3305, 80736, 80864, 6048, 177, 5089, 63940, 4855, 10665, 3122, 3123, 3117, 3108, 5754, 6722, 23113, 24149, 667, 9892, 8379, 29960, 4521, 29886, 8662, 55501, 3624, 6733, 51384, 51201, 137492, 203062, 783, 1586, 119032, 57412, 54805, 22978, 8525, 55626, 9776, 79602, 775, 4842, 57605, 10198, 91574, 57161, 84334, 7517, 5330, 3990, 100529144, 79585, 9093, 29965, 5595, 84138, 23293, 63826, 7473, 6925, 9524, 404037, 53345, 57794, 23383, 54815, 57591, 3127
GWAS:11	Schizophrenia_vs_Bipolar_disorder_PGC_2014	549	9651, 55735, 50651, 473, 127703, 55700, 23334, 81888, 5792, 9682, 1996, 5142, 1806, 51177, 51107, 79630, 9129, 23248, 80222, 55793, 57326, 127579, 9674, 5929, 25778, 4179, 56776, 10806, 10000, 9553, 64080, 23683, 51130, 7444, 55120, 53335, 56603, 94097, 26056, 7840, 55654, 151011, 9839, 1781, 91752, 91526, 23451, 80219, 3329, 100529241, 25843, 130132, 66037, 5334, 23314, 348751, 205327, 129450, 79568, 26010, 1385, 151194, 2066, 79137, 130617, 80309, 26058, 3769, 389084, 25791, 152330, 9779, 7068, 27303, 9881, 54106, 23166, 64943, 440957, 55193, 26354, 55830, 28972, 6787, 3697, 3699, 3700, 389125, 100526772, 375346, 51460, 2272, 80145, 9861, 166336, 27086, 8997, 5523, 55167, 5096, 10274, 53833, 8087, 131118, 1182, 2823, 23379, 348980, 133418, 79993, 57688, 133482, 4124, 51780, 51308, 2107, 3313, 83697, 54882, 404734, 4695, 3550, 3035, 23438, 153527, 56147, 56146, 56145, 56144, 56143, 56142, 56141, 56140, 56135, 5521, 4238, 55568, 9509, 55604, 10050, 6568, 10786, 10246, 10475, 3024, 3006, 3077, 8364, 3010, 8347, 8334, 3008, 3017, 11118, 10385, 11119, 10384, 11120, 696, 10473, 29777, 79692, 8969, 10279, 94026, 346157, 7738, 8340, 8329, 8363, 8341, 3009, 8356, 81697, 7718, 80345, 7745, 7746, 387032, 222698, 84547, 64288, 80317, 9753, 222696, 114821, 5987, 26692, 26707, 442191, 81696, 81797, 26531, 26716, 10537, 346171, 3134, 3135, 3105, 30834, 6992, 80352, 11074, 135644, 10107, 89870, 7726, 56658, 202658, 2794, 23, 79969, 221545, 170954, 11270, 203068, 10211, 780, 2968, 57176, 389376, 135656, 394263, 100507679, 29113, 170679, 170680, 54535, 6941, 5460, 3107, 3106, 4277, 534, 7124, 199, 7916, 7917, 55937, 57827, 7918, 1460, 58496, 259215, 110599563, 80740, 23564, 1192, 4439, 401251, 80737, 7407, 57819, 3305, 3303, 3304, 4758, 80736, 10919, 717, 221527, 7936, 6499, 1797, 8859, 7148, 1388, 63943, 80863, 9374, 80864, 10554, 6048, 177, 5089, 63940, 4855, 10665, 56244, 3122, 3123, 3117, 3119, 3108, 1302, 9277, 10471, 6892, 9278, 1616, 3833, 5252, 8831, 221504, 578, 3710, 117283, 221496, 23113, 24149, 5429, 667, 23469, 346007, 167681, 9892, 389421, 2309, 117247, 10758, 154215, 8379, 221935, 1687, 3624, 83698, 2913, 9988, 79161, 5243, 8910, 6733, 83943, 9162, 64478, 9258, 79660, 4482, 51201, 137492, 23362, 23259, 84513, 54904, 137994, 2260, 4325, 203062, 7010, 152006, 5079, 84186, 158293, 23196, 5253, 9568, 51490, 783, 288, 84159, 26128, 30819, 54838, 1586, 119032, 57412, 54805, 22978, 9118, 9148, 22986, 4925, 8525, 55626, 9776, 392, 79797, 2147, 9793, 4038, 25921, 51075, 280636, 643376, 1500, 2011, 28992, 23130, 5526, 283129, 116071, 54970, 1813, 4900, 23584, 90952, 79684, 399979, 4978, 22997, 83700, 23310, 775, 4665, 64786, 56899, 4842, 6249, 23457, 79676, 51329, 57605, 10198, 91574, 8099, 55206, 387893, 196383, 80212, 144348, 5587, 6252, 22990, 2957, 64919, 4140, 115708, 9529, 3831, 84334, 7517, 79038, 23368, 254531, 5330, 80031, 3990, 3658, 1138, 1136, 1143, 64506, 8120, 57188, 54993, 84942, 4828, 23478, 9640, 57538, 4916, 5045, 2242, 9093, 29965, 54715, 23042, 253982, 253980, 124446, 9344, 8479, 283899, 8448, 83723, 5531, 6911, 79153, 5595, 79918, 23019, 10204, 5699, 6560, 64174, 54920, 4775, 80004, 23659, 9057, 84138, 29123, 27132, 1800, 2175, 7531, 23293, 63826, 388336, 10743, 6720, 146691, 83450, 91647, 79018, 1819, 5598, 162494, 7473, 57521, 6925, 26251, 80148, 148252, 404037, 53345, 57794, 23383, 54815, 51079, 374887, 148113, 80714, 9170, 51291, 9745, 23094, 51070, 5639, 58506, 3661, 83596, 79913, 26051, 3745, 5740, 79144, 9980, 4248, 8911, 2033, 150356, 5905, 23264, 6721, 79019, 55964, 164684, 4668, 150368, 4700, 6942, 23774, 9889, 79087, 79174, 3127, 1132, 283254, 91689, 57502, 80311, 11141, 64219, 2334, 2316, 6134, 1774, 6901
GWAS:40	Educational_attainment_SSGAC_2016	296	576, 991, 112950, 23334, 81888, 5792, 9682, 6487, 9048, 9670, 533, 1600, 5142, 257194, 100526835, 51086, 54810, 50999, 343099, 5906, 55924, 23215, 5287, 10446, 3756, 55758, 7188, 343035, 359948, 6262, 9859, 10806, 9378, 53335, 200734, 3899, 164832, 9486, 55843, 10010, 10213, 1803, 402117, 57624, 116987, 2637, 401036, 23228, 4134, 1294, 440955, 65010, 1951, 51517, 51447, 10425, 55152, 3615, 54870, 3913, 200942, 646498, 339834, 375341, 7375, 2876, 387, 6988, 275, 84276, 1605, 8927, 327, 4485, 63891, 386724, 29925, 9807, 389118, 389119, 7318, 10293, 79012, 4486, 84315, 10180, 10181, 6405, 2779, 8372, 24142, 3373, 27086, 253559, 56987, 152404, 8706, 51068, 8602, 2868, 345222, 6002, 401145, 54790, 27068, 93627, 9255, 55534, 57600, 152940, 2823, 5144, 55789, 79993, 1161, 91942, 643155, 57688, 4208, 90355, 1946, 3781, 6310, 8365, 696, 10473, 1388, 9374, 80864, 10554, 6048, 177, 5089, 55122, 256380, 254394, 79632, 26575, 113263, 83637, 83698, 29990, 29992, 55063, 56257, 221908, 402573, 81628, 222950, 222255, 93986, 60412, 4850, 29942, 23514, 203111, 84955, 50626, 90990, 8928, 84988, 2875, 9401, 9684, 441381, 414919, 4781, 320, 687, 23196, 22927, 8555, 9442, 10659, 57118, 8028, 29982, 221037, 221035, 29119, 55328, 10360, 10724, 30819, 79591, 83401, 5309, 8729, 4791, 5662, 79004, 57412, 54805, 22978, 22986, 7003, 26297, 338645, 143684, 9702, 8898, 55729, 23109, 23468, 5869, 6821, 64375, 6231, 2065, 35, 121665, 144404, 27198, 23457, 79676, 51329, 57605, 10198, 91574, 8099, 55206, 387893, 196383, 27253, 8428, 55147, 10419, 54930, 84962, 60686, 4857, 2100, 7597, 9495, 22890, 55218, 9333, 116179, 80031, 283659, 57722, 10260, 8766, 79631, 28232, 92017, 54700, 1201, 55911, 26471, 112869, 11273, 7284, 25970, 487, 79874, 6299, 1012, 10517, 84961, 5469, 51755, 201176, 9842, 1394, 162540, 4137, 246744, 284058, 4905, 7473, 9570, 29919, 4864, 56853, 83473, 652991, 1630, 93145, 3726, 4784, 10523, 79939, 9441, 57794, 11122, 1434, 6780, 116154, 25825, 8911, 84247, 23654, 9701, 441272, 113655
GWAS:48	Age_at_menarche_ReproGen_2014	142	5792, 9682, 54741, 100526835, 51086, 6258, 89866, 64710, 10000, 114800, 80059, 23314, 51602, 6304, 200942, 646498, 339834, 7375, 2876, 387, 6988, 275, 84276, 1605, 8927, 327, 4485, 389118, 10180, 10181, 9254, 389136, 8545, 55279, 285237, 4045, 8607, 60678, 1981, 1181, 6434, 27306, 6870, 55294, 152940, 134429, 23338, 819, 51307, 51780, 4238, 57451, 89870, 202658, 79897, 202658, 80736, 10817, 100188893, 25862, 9477, 705, 896, 222584, 667, 221336, 26054, 10973, 57531, 389421, 387103, 5796, 80129, 93664, 54927, 64478, 11059, 51115, 23081, 158399, 8019, 56288, 54619, 11101, 65975, 9866, 406, 55327, 627, 51317, 57558, 9846, 79731, 7225, 79864, 390259, 57511, 11278, 317761, 4990, 123099, 283600, 7453, 79446, 57596, 80031, 64799, 5607, 390598, 51704, 124274, 10423, 26470, 253982, 253980, 8479, 79068, 10725, 1728, 28987, 11060, 252983, 8170, 83473, 84064, 51124, 652991, 115704, 5300, 93145, 23373, 7691, 388569, 25799, 55663, 10998, 343578, 51497, 1522, 5594, 90933, 83719
GWAS:49	Age_at_menopause_ReproGen_2015	192	1441, 64121, 26292, 81025, 54933, 8438, 10489, 387338, 2166, 10228, 2052, 9156, 54454, 8884, 51374, 790, 285126, 57159, 4358, 2976, 8890, 9784, 130557, 5496, 29959, 200634, 26160, 64838, 2646, 84226, 84450, 79635, 11321, 22950, 2956, 80204, 3344, 286749, 11036, 3973, 54465, 26003, 9874, 1781, 8604, 254042, 10203, 7035, 92691, 7520, 56852, 79364, 5523, 55167, 10274, 55486, 113510, 51023, 84142, 84803, 11044, 81848, 23367, 23197, 22838, 3101, 51720, 23567, 81853, 221711, 9247, 534, 4795, 4049, 259197, 199, 7916, 7917, 55937, 57827, 7918, 1460, 58496, 7920, 259215, 110599563, 80740, 23564, 1192, 4439, 401251, 80737, 7407, 3305, 3303, 3304, 80736, 10919, 717, 221527, 8859, 7148, 10554, 6048, 177, 222662, 6732, 91749, 9070, 27257, 55636, 3301, 55234, 54906, 2665, 57412, 1488, 120534, 57558, 9846, 79731, 5557, 8630, 144404, 23457, 57605, 10198, 9271, 81550, 4860, 57697, 11261, 11339, 51203, 51103, 23168, 3706, 4058, 11057, 6017, 55215, 5428, 26156, 2935, 608, 51693, 390748, 863, 4927, 84268, 708, 10948, 8557, 93210, 2064, 10493, 8153, 672, 113277, 1820, 4782, 100287226, 148198, 388523, 7644, 84902, 22870, 23640, 84446, 284417, 84787, 284418, 3589, 6158, 204801, 51605, 84515, 54675, 164312, 28231, 11083, 54994, 150274, 11015, 10521, 11144, 646851, 25776, 56993, 9929, 9567, 25777
GWAS:50	Age_at_menarche_ReproGen_2017	781	199990, 23261, 50651, 473, 10277, 7799, 8574, 10236, 80818, 149076, 114784, 200172, 22955, 7075, 4352, 991, 112950, 23334, 81888, 5792, 9682, 6487, 79033, 1600, 115209, 3716, 9829, 3953, 54741, 257194, 100526835, 51086, 105378803, 127254, 1806, 9129, 23248, 4170, 1513, 7170, 388701, 25912, 9898, 103, 55870, 55249, 6258, 4653, 84614, 462, 149041, 9910, 27101, 63931, 60676, 89866, 9213, 3814, 64710, 90806, 26750, 7483, 10000, 52, 129787, 348654, 114818, 109, 51277, 165140, 63892, 678, 2956, 114800, 5194, 9736, 7514, 23177, 5861, 150726, 1961, 80059, 54884, 84173, 822, 11250, 80731, 53353, 55660, 151188, 4929, 2820, 55137, 375298, 4760, 23314, 7341, 51602, 659, 5746, 2066, 9779, 6304, 7068, 55888, 7584, 10675, 6599, 22907, 993, 1294, 440955, 51517, 51447, 5576, 10425, 54681, 55152, 3615, 54870, 5859, 10869, 3913, 64925, 200942, 646498, 339834, 375341, 7375, 2876, 387, 6988, 275, 84276, 1605, 8927, 327, 4485, 63891, 386724, 29925, 9807, 389118, 7318, 10293, 79012, 4486, 84315, 10180, 10181, 6405, 2779, 9254, 51161, 51409, 1154, 7867, 1795, 9730, 23132, 51368, 25886, 80335, 25981, 8314, 23166, 27086, 317649, 389136, 25978, 5449, 8545, 55279, 285237, 56987, 26137, 4045, 8607, 60678, 131034, 55179, 57018, 1981, 131408, 1181, 6434, 2119, 1608, 345222, 5099, 386617, 3490, 91746, 25898, 56916, 27306, 10611, 55024, 6870, 64902, 2690, 7690, 167359, 4724, 375449, 6902, 9522, 153364, 5122, 64839, 814, 134429, 9315, 23338, 51128, 819, 9879, 134553, 84105, 347732, 57113, 26249, 9499, 27039, 51306, 51307, 51780, 51308, 1958, 1495, 51523, 4238, 408263, 8728, 57451, 5917, 6586, 3187, 84830, 54901, 10385, 7746, 387032, 64288, 80317, 222696, 257202, 2880, 114821, 2550, 346171, 3134, 3135, 3105, 202658, 79897, 202658, 170680, 54535, 6941, 5460, 7917, 23564, 1192, 80737, 7407, 80736, 10919, 1388, 3122, 3119, 54887, 57497, 10817, 100188893, 25862, 9477, 705, 896, 5528, 116138, 88745, 51069, 5754, 7021, 22858, 26268, 222584, 667, 221336, 51715, 346007, 26054, 4646, 3617, 134728, 55023, 9892, 375519, 84553, 85015, 59336, 6492, 10973, 57531, 389421, 11149, 64208, 5550, 2309, 154215, 387103, 5796, 79624, 80129, 8379, 29960, 11112, 3624, 2887, 51657, 9863, 219578, 8321, 2792, 64921, 7586, 7551, 9179, 6878, 245812, 389541, 79690, 10734, 79037, 389549, 93664, 168433, 54927, 60412, 5799, 9228, 64478, 9705, 9821, 23471, 65986, 157724, 11059, 51115, 8895, 50807, 51305, 10171, 3717, 11172, 23081, 5789, 4781, 51271, 80036, 2776, 29979, 80318, 84267, 4915, 10912, 158293, 23196, 5253, 58499, 8518, 54942, 8727, 23731, 23732, 54566, 23392, 158399, 22949, 158401, 7357, 347088, 2516, 2649, 169611, 5537, 79109, 25792, 1759, 8019, 105, 57118, 222389, 8505, 221037, 221035, 80312, 2894, 55328, 387707, 54619, 29760, 55719, 84545, 57715, 56652, 84445, 10360, 10724, 30819, 79591, 8861, 23082, 9221, 51684, 119032, 57412, 54805, 22978, 27250, 8036, 150, 6934, 26033, 387712, 340719, 8661, 404636, 2869, 79892, 11196, 11101, 54780, 1488, 51272, 60626, 23410, 5719, 65975, 9866, 6157, 7003, 406, 55553, 10944, 144100, 2620, 627, 81930, 196074, 2488, 120534, 51144, 9409, 120071, 51317, 90993, 8525, 55626, 9776, 392, 9793, 4038, 1643, 8567, 4607, 6688, 91252, 5702, 219539, 10978, 25921, 219541, 1500, 144097, 4296, 399909, 6494, 5970, 254122, 9158, 283209, 1207, 282679, 51773, 28971, 92105, 57558, 9846, 79731, 1740, 58487, 10888, 7225, 3014, 1798, 9854, 25988, 79671, 79849, 283152, 867, 56253, 79864, 390259, 3312, 79827, 775, 55729, 6660, 60488, 144245, 29951, 784, 27289, 85478, 51303, 377, 7480, 23109, 5571, 8085, 84790, 5630, 10024, 338761, 57701, 144233, 23017, 6821, 6231, 2065, 4640, 23316, 6926, 26259, 9761, 121665, 6927, 8638, 80324, 57666, 255967, 23047, 57511, 160851, 11278, 2262, 10150, 8660, 64067, 317761, 4990, 51804, 2530, 55727, 57578, 123099, 283600, 7453, 79446, 57596, 8788, 3714, 256281, 11261, 4130, 25764, 80031, 342035, 302, 79664, 6095, 6642, 79856, 5479, 53944, 9768, 9325, 23060, 4947, 348093, 10260, 8766, 5604, 10302, 6124, 55055, 4088, 79719, 64799, 145853, 5607, 390598, 79834, 10363, 79631, 64506, 8120, 123722, 123720, 9455, 55070, 23042, 123803, 255027, 89927, 4363, 400506, 124152, 51704, 124274, 204474, 4150, 9961, 10423, 26470, 253982, 253980, 124446, 9344, 8479, 283899, 8448, 146378, 83723, 5531, 6911, 79153, 5595, 3683, 9683, 79068, 10725, 1728, 28987, 11060, 55308, 6483, 9100, 63826, 55720, 9135, 4927, 254863, 57555, 146754, 23135, 84316, 125150, 9611, 78995, 92591, 7343, 284071, 4185, 79877, 4836, 113026, 79777, 124790, 51226, 8631, 51096, 10040, 1353, 252983, 3131, 125058, 57521, 22994, 146705, 284184, 124565, 71, 9229, 8715, 9063, 83473, 51224, 84064, 51124, 652991, 4160, 284274, 57455, 83855, 81926, 60680, 23030, 3643, 115704, 5300, 93145, 2639, 256126, 2193, 9244, 55049, 25789, 55295, 23373, 9745, 79047, 27033, 9757, 79713, 199746, 55851, 55957, 126393, 148137, 115703, 4861, 54958, 23211, 10055, 27113, 728, 2524, 284358, 10856, 84787, 388569, 25799, 5126, 55184, 57419, 3642, 140688, 9139, 11264, 128866, 84557, 128869, 23054, 2686, 8200, 343578, 7529, 80336, 4159, 1522, 140685, 4987, 8208, 8624, 54014, 3150, 1476, 8568, 5594, 9647, 8940, 22880, 25777, 10126, 23466, 23492, 63929, 55007, 27127, 26150, 25817, 90933, 84851, 653361, 84163, 375593, 79176, 283254, 83719, 11151, 348174, 171482, 94121, 3547, 347468, 9459, 27316
GWAS:54	Inflammatory_Bowel_Disease_IBDgenetics_2015	294	6339, 81669, 65220, 2782, 163688, 85452, 9341, 11315, 54206, 54546, 23252, 57708, 400757, 149233, 3595, 26135, 1942, 200185, 80128, 4582, 7059, 2629, 10712, 10067, 1196, 57657, 5313, 2224, 55870, 55154, 2212, 23271, 2848, 55765, 23046, 779, 93273, 3586, 8648, 79172, 109, 1788, 2355, 63892, 678, 5966, 150962, 5194, 84542, 9173, 8809, 8807, 389015, 5334, 3579, 10109, 14, 25953, 64114, 55054, 6295, 2859, 666, 5210, 1294, 7384, 440955, 65010, 1951, 51517, 51447, 5576, 10425, 55152, 3615, 54870, 5859, 3913, 200942, 646498, 339834, 375341, 7375, 2876, 387, 6988, 275, 84276, 1605, 8927, 327, 4485, 63891, 386724, 29925, 9807, 389118, 389119, 7318, 10293, 79012, 4486, 84315, 10180, 10181, 6405, 2779, 116984, 132612, 3558, 5562, 6167, 64167, 4012, 1437, 8974, 8572, 6583, 6584, 3659, 80762, 815, 345611, 134510, 3593, 54901, 100507679, 170680, 5460, 3106, 100507436, 4277, 7919, 534, 4795, 4049, 4050, 7940, 259197, 199, 57827, 7918, 4439, 401251, 80737, 57819, 3305, 221527, 7936, 6499, 1797, 8859, 7148, 1388, 63943, 80863, 9374, 80864, 6048, 177, 4855, 56244, 3122, 3123, 3117, 3119, 3120, 3112, 3111, 60468, 5980, 8635, 11116, 54749, 56996, 1811, 1738, 3912, 3717, 11172, 3641, 549, 9966, 26086, 728489, 64170, 6621, 10807, 23203, 56623, 9919, 2625, 1326, 8453, 1390, 219771, 84890, 1959, 57178, 81619, 159296, 79847, 51684, 4925, 374383, 923, 9415, 3992, 283234, 56946, 120892, 3798, 1880, 677, 4088, 116028, 8651, 7142, 1201, 1201, 55911, 246778, 112869, 6799, 6817, 11273, 7284, 25970, 487, 79874, 113, 29117, 85407, 124460, 64127, 1540, 146198, 28987, 5336, 433, 6347, 5409, 93210, 2064, 84299, 124626, 55876, 94103, 100505591, 284110, 9862, 6777, 6776, 6774, 284119, 535, 4669, 5771, 4772, 2879, 22904, 100125288, 112812, 11140, 5141, 53637, 128611, 85441, 26205, 50861, 51750, 8771, 10139, 84619, 54923, 56731, 140685, 7165, 23308, 7332, 150223, 8897, 150280, 6122, 9145, 10454, 400935, 126789, 8764, 4580, 3310, 3127, 728734, 8663
GWAS:55	Crohn_s_Disease_IBDgenetics_2015	237	9341, 8863, 10911, 7398, 85440, 57708, 400757, 149233, 3595, 10717, 1944, 7059, 2629, 10712, 10067, 1196, 57657, 5313, 2224, 55870, 55154, 55249, 6016, 6746, 55765, 1788, 63892, 5966, 150962, 9173, 8809, 8807, 389015, 100529241, 25843, 130132, 66037, 5334, 11262, 55054, 6295, 1951, 51517, 51447, 54870, 5859, 339834, 375341, 7375, 2876, 387, 6988, 275, 84276, 1605, 8927, 327, 4485, 63891, 386724, 29925, 9807, 389118, 7318, 10293, 79012, 4486, 84315, 10180, 10181, 6405, 91869, 55669, 5734, 23548, 5562, 6167, 64167, 4012, 1437, 8974, 8572, 6583, 6584, 3659, 80762, 85027, 345611, 91975, 134510, 3593, 54901, 100507679, 170679, 170680, 3107, 3106, 100507436, 4277, 401250, 7919, 534, 4795, 4049, 7124, 7940, 259197, 199, 7916, 7917, 55937, 57827, 7918, 1460, 7920, 259215, 110599563, 1192, 4439, 401251, 80737, 7407, 57819, 717, 629, 7936, 6499, 1797, 8859, 7148, 1388, 63943, 9374, 177, 63940, 4855, 3117, 3118, 3112, 3111, 60468, 84870, 84624, 8635, 11116, 114926, 3717, 11172, 3641, 9966, 26086, 728489, 64170, 6621, 10807, 23203, 56623, 9919, 1326, 8453, 1390, 253430, 55847, 84890, 1959, 57178, 159296, 746, 9415, 3992, 5331, 572, 56834, 25824, 283234, 4055, 120892, 11215, 677, 161725, 4088, 8651, 1201, 1201, 55911, 246778, 112869, 6799, 6817, 11273, 7284, 25970, 487, 79874, 113, 29117, 85407, 124460, 64127, 1540, 6347, 6356, 2064, 124626, 55876, 284110, 6777, 6776, 6774, 284119, 6198, 5771, 2879, 22904, 100125288, 112812, 11140, 5141, 53637, 2524, 55612, 85441, 26205, 50861, 51750, 8771, 10139, 84619, 54923, 56731, 7332, 150223, 8897, 150280, 6122, 9145, 728734
GWAS:56	Ulcerative_Colitis_IBDgenetics_2015	189	6339, 127281, 79258, 100287898, 11315, 54206, 54546, 23252, 30814, 127550, 400757, 149233, 3595, 26135, 2212, 23271, 55765, 23046, 779, 3586, 5966, 150962, 5194, 84542, 3579, 10109, 14, 25953, 64114, 2859, 440955, 65010, 1951, 51517, 51447, 3615, 54870, 200942, 646498, 339834, 375341, 7375, 2876, 387, 6988, 275, 84276, 1605, 8927, 327, 4485, 63891, 386724, 29925, 9807, 389118, 7318, 10293, 79012, 4486, 84315, 10180, 10181, 6405, 2779, 51460, 613212, 815, 257202, 79969, 221545, 100507679, 170679, 1041, 170680, 54535, 6941, 5460, 3106, 4277, 7919, 534, 4795, 4049, 7124, 4050, 7940, 259197, 199, 7917, 57827, 7918, 4439, 401251, 80737, 7407, 3305, 3303, 3304, 10919, 717, 221527, 629, 7936, 6499, 1797, 8859, 7148, 1388, 63943, 80863, 9374, 80864, 10554, 6048, 177, 5089, 63940, 4855, 56244, 3122, 3123, 3117, 3119, 3117, 3118, 3112, 3108, 3115, 155185, 2768, 3207, 2128, 54749, 402682, 1811, 1738, 3912, 3663, 23534, 6867, 3717, 11172, 3641, 29126, 9966, 728489, 64170, 6621, 10807, 23203, 56623, 9919, 8453, 1390, 159296, 79847, 51684, 4046, 84441, 25996, 54827, 9746, 3798, 5595, 3683, 29117, 146198, 28987, 2064, 84299, 124626, 55876, 94103, 284110, 9862, 6774, 26205, 50861, 51750, 8771, 10139, 84619, 54923, 56731, 400935, 8764, 3310, 3127
GWAS:77	Height_GIANT_2010	350	5590, 6497, 9563, 9696, 4237, 23400, 6390, 11240, 7798, 79727, 200172, 22955, 388650, 1301, 9900, 10903, 57216, 26052, 3915, 23127, 116461, 7042, 339500, 116841, 65094, 388931, 80304, 8648, 79172, 109, 51277, 22979, 1788, 5495, 79823, 285051, 2202, 9451, 51602, 7429, 57695, 9125, 84812, 7701, 617, 27148, 9654, 1593, 255101, 3549, 79840, 151295, 4691, 4880, 129563, 9470, 728763, 9855, 9686, 3697, 3699, 3700, 389125, 100526772, 375346, 51460, 285331, 23272, 23429, 26137, 5523, 55167, 10274, 253461, 5922, 51319, 64778, 2693, 92305, 54876, 64151, 254251, 5393, 55212, 64399, 10393, 6059, 54726, 4883, 153129, 3842, 153241, 8974, 8572, 6583, 6584, 84105, 347732, 2264, 9945, 3400, 3024, 3006, 3077, 8364, 3010, 8347, 8334, 3017, 8351, 8365, 29777, 282890, 442184, 442186, 135656, 100507679, 170680, 54535, 6941, 3107, 3106, 100507436, 4277, 401250, 7919, 534, 4795, 4049, 7940, 259197, 199, 7916, 7917, 55937, 1460, 1192, 4439, 3305, 80736, 10919, 717, 7936, 6499, 1797, 8859, 7148, 1388, 80863, 9374, 80864, 177, 3123, 3710, 84300, 117283, 4295, 3159, 221491, 6204, 64771, 23294, 222663, 7629, 50619, 5467, 7005, 4646, 594, 389421, 285755, 64780, 9841, 387103, 51534, 57211, 2099, 56995, 155185, 2768, 3696, 221895, 57798, 30816, 5189, 84060, 257415, 1021, 3757, 4846, 5324, 195814, 9760, 4856, 5168, 56169, 57623, 4882, 26206, 401541, 4958, 54829, 1842, 89846, 5727, 11046, 195828, 22927, 8555, 58499, 5069, 8939, 169714, 728489, 64170, 10807, 56623, 10105, 1369, 51684, 7003, 4925, 6688, 5702, 5913, 10658, 23788, 5795, 2346, 823, 29984, 1656, 2120, 5139, 55297, 283375, 283373, 1431, 9924, 51561, 6773, 319, 8091, 8835, 8738, 55332, 605, 57605, 10198, 91574, 8099, 55206, 144347, 10443, 23047, 4738, 196883, 4776, 23034, 317761, 5890, 9321, 4058, 7090, 4016, 6457, 57188, 176, 170691, 79006, 65990, 84264, 64428, 7249, 57524, 64223, 283871, 1877, 1775, 348180, 9780, 3768, 124930, 23512, 114659, 113026, 124790, 65264, 11267, 2695, 22834, 6909, 10238, 4215, 92335, 57003, 11325, 974, 91768, 85019, 54808, 84444, 4782, 3643, 593, 56915, 374907, 55101, 51654, 6640, 9139, 63941, 1869, 11264, 84905, 83658, 84557, 128869, 23054, 58476, 2686, 55902, 57644, 26133, 55741, 10544, 10893, 3692, 128876, 55245, 8200, 11190, 140873, 51614, 6676, 8904, 10137, 9054, 140823, 9584, 51230, 51282, 140894, 2036, 25980, 10564, 1434, 55661, 57169, 8224
